INFO 2026-05-04 15:38:29,918 autoreload 38808 70300 Watching for file changes with StatReloader
INFO 2026-05-08 14:30:33,140 _client 22904 17448 HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 404 Not Found"
INFO 2026-05-08 14:31:47,688 _client 21840 24048 HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
INFO 2026-05-08 14:31:47,690 _base_client 21840 24048 Retrying request to /chat/completions in 0.492886 seconds
INFO 2026-05-08 14:31:48,635 _client 21840 24048 HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
INFO 2026-05-08 14:31:48,636 _base_client 21840 24048 Retrying request to /chat/completions in 0.846228 seconds
INFO 2026-05-08 14:31:50,097 _client 21840 24048 HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
INFO 2026-05-08 14:33:56,219 _client 23520 21172 HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
INFO 2026-05-08 14:33:56,222 _base_client 23520 21172 Retrying request to /chat/completions in 0.472465 seconds
INFO 2026-05-08 14:33:57,178 _client 23520 21172 HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
INFO 2026-05-08 14:33:57,179 _base_client 23520 21172 Retrying request to /chat/completions in 0.883487 seconds
INFO 2026-05-08 14:33:58,677 _client 23520 21172 HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
INFO 2026-05-08 14:33:59,023 _client 23520 21172 HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
INFO 2026-05-08 14:33:59,024 _base_client 23520 21172 Retrying request to /chat/completions in 0.376335 seconds
INFO 2026-05-08 14:33:59,864 _client 23520 21172 HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
INFO 2026-05-08 14:33:59,866 _base_client 23520 21172 Retrying request to /chat/completions in 0.831711 seconds
INFO 2026-05-08 14:34:00,991 _client 23520 21172 HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
INFO 2026-05-08 14:34:01,271 _client 23520 21172 HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
INFO 2026-05-08 14:34:01,272 _base_client 23520 21172 Retrying request to /chat/completions in 0.385300 seconds
INFO 2026-05-08 14:34:01,977 _client 23520 21172 HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
INFO 2026-05-08 14:34:01,978 _base_client 23520 21172 Retrying request to /chat/completions in 0.864072 seconds
INFO 2026-05-08 14:34:03,140 _client 23520 21172 HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
INFO 2026-05-08 14:34:03,594 _client 23520 21172 HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
